Var1,Freq,Code
Belanja Pegawai,6260,APBD.EXP.IND.CIV
Belanja Pegawai,6260,APBD.EXP.DIR.CIV
Dana alokasi umum,6245,APBD.REV.TRA.DAU
Dana Alokasi Umum,1788,TKDD.DAU.DAU
DAU,1788,TKDD.DAU.SUM
Belanja,6272,APBD.EXP.TOTAL
Belanja Barang dan Jasa,6272,APBD.EXP.DIR.GDS
Belanja Langsung,6272,APBD.EXP.DIR.SUM
Belanja Modal,6272,APBD.EXP.DIR.CAP
Belanja Tidak Langsung,6272,APBD.EXP.IND.SUM
Lain-lain pendapatan daerah yang sah,6272,APBD.REV.OTH.SUM
PAD,6272,APBD.REV.OWN.SUM
Pembiayaan,6272,APBD.FIN.TOTAL
Pendapatan,6272,APBD.REV.TOTAL
Daper,6269,APBD.REV.TRA.SUM
Lain-lain PAD yang sah,6267,APBD.REV.OWN.OTH
Dana bagi hasil pajak/bagi hasil bukan pajak,6266,APBD.REV.TRA.DBH
Belanja Hibah,6249,APBD.EXP.IND.GRA
Retribusi daerah,6248,APBD.REV.OWN.RET
Belanja tidak terduga,6247,APBD.EXP.IND.ACC
Pajak daerah,6229,APBD.REV.OWN.TAX
Penerimaan,6205,APBD.FIN.REV.SUM
Dana alokasi khusus,6201,APBD.REV.TRA.DAK
SiLPA TA sebelumnya,6176,APBD.FIN.REV.REM
Belanja Bantuan keuangan kpd Prop/Kab/Kota dan Pemdes,6108,APBD.EXP.IND.FIN
Dana penyesuaian dan otonomi khusus,6002,APBD.REV.OTH.DEC
Belanja Bantuan sosial,5971,APBD.EXP.IND.SOC
Hasil pengelolaan kekayaan daerah yang dipisahkan,5969,APBD.REV.OWN.ASS
Dana bagi hasil pajak dari Propinsi dan Pemda lainnya,5929,APBD.REV.OTH.DBH
Pengeluaran,5622,APBD.FIN.EXP.SUM
Penyertaan Modal (Investasi) Daerah,5186,APBD.FIN.EXP.CAP
Hibah,4282,APBD.REV.OTH.GRA
Belanja Bagi hasil kpd Prop/Kab/Kota dan Pemdes,3865,APBD.EXP.IND.DBH
Lain-lain,3766,APBD.REV.OTH.OTH
Bantuan keuangan dari Propinsi atau Pemda lainnya,3715,APBD.REV.OTH.GOV
Pembayaran Pokok Utang,3027,APBD.FIN.EXP.DEB
Dana Desa,2932,TKDD.DES.SUM
Penerimaan Kembali Pemberian Pinjaman,2763,APBD.FIN.REV.LEN
Belanja Subsidi,2205,APBD.EXP.IND.SUB
Belanja Bunga,2041,APBD.EXP.IND.INT
DAK FISIK,1792,TKDD.DAK.FIS.SUM
DAK NON FISIK,1792,TKDD.DAK.NON.SUM
Dana Bantuan Operasional Kesehatan,1792,TKDD.DAK.NON.HEA
DBH,1792,TKDD.DBH.SUM
Total Transfer ke daerah dan Dana Desa,1792,TKDD.TOTAL
Transfer ke Daerah,1792,TKDD.TOTAL
Dana Pelayanan Administrasi Kependudukan,1788,TKDD.DAK.NON.POP
Dana Tunjangan Profesi Guru PNSD,1777,TKDD.DAK.NON.EDU.REG
Penerimaan Pinjaman Daerah dan Obligasi Daerah,1753,APBD.FIN.REV.BON
Dana Bantuan Operasional Penyelenggaraan - Pendidikan Anak Usia Dini,1693,TKDD.DAK.NON.EDU.CHI
Dana Bantuan Operasional Keluarga Berencana,1686,TKDD.DAK.NON.FAM
Dana Tambahan Penghasilan Guru Pegawai Negeri Sipil,1680,TKDD.DAK.NON.EDU.ADD
DANA DESA,1466,TKDD.DES.TOTAL
Pemberian Pinjaman Daerah,1405,APBD.FIN.EXP.LEN
Dana Tunjangan Khusus Guru PNSD di Daerah Khusus,1253,TKDD.DAK.NON.EDU.SPC
Pembentukan Dana Cadangan,1251,APBD.FIN.EXP.SEC
DBH PPh Pasal 21,1217,TKDD.DBH.PPH.P21
DBH PPh Pasal 25/29 OP,1217,TKDD.DBH.PPH.P25
Dana Insentif Daerah,1207,TKDD.DID.SUM
DID,1207,TKDD.DID.TOTAL
Dana Alokasi Khusus Penugasan,1204,TKDD.DAK.FIS.OPR
DBH SDA Kehutanan - PSDH,1193,TKDD.DBH.SDA.FOR
DBH SDA Minerba - Royalti,1165,TKDD.DBH.SDA.MIN.ROY
Dana Bantuan Operasional Penyelenggaraan (BOP) Pendidikan Kesetaraan,1151,TKDD.DAK.NON.EDU.EQU
DBH PBB Bagi Rata,1151,TKDD.DBH.PBB.EQU
DBH SDA Perikanan,1151,TKDD.DBH.SDA.FIS
DBH PBB Bagian Daerah untuk Kabupaten/Kota,1147,TKDD.DBH.PBB.REG
DBH PBB Biaya Pemungutan untuk Kabupaten/Kota,1147,TKDD.DBH.PBB.FIN
Pencairan dana cadangan,1085,APBD.FIN.REV.SEC
Pengeluaran Perhitungan Pihak Ketiga,976,APBD.FIN.EXP.THI
Dana darurat,879,APBD.REV.OTH.EMR
Hasil Penjualan Kekayaan Daerah yang Dipisahkan,815,APBD.FIN.REV.RES
DBH SDA Minyak Bumi 15%,796,TKDD.DBH.SDA.OIL.P15
Dana Pelayanan Kepariwisataan,785,TKDD.DAK.NON.TOU
